title,director,stars,rating,certificate,runtime,genre,gross
TheShawshankRedemption,FrankDarabont,"['FrankDarabont','TimRobbins','MorganFreeman','BobGunton','WilliamSadler']",9.3,15,142min,Drama,$28.34M
TheDarkKnight,ChristopherNolan,"['ChristopherNolan','ChristianBale','HeathLedger','AaronEckhart','MichaelCaine']",9,12A,152min,"Action,Crime,Drama",$534.86M
Inception,ChristopherNolan,"['ChristopherNolan','LeonardoDiCaprio','JosephGordon-Levitt','ElliotPage','KenWatanabe']",8.8,12A,148min,"Action,Adventure,Sci-Fi",$292.58M
FightClub,DavidFincher,"['DavidFincher','BradPitt','EdwardNorton','MeatLoaf','ZachGrenier']",8.8,18,139min,Drama,$37.03M
ForrestGump,RobertZemeckis,"['RobertZemeckis','TomHanks','RobinWright','GarySinise','SallyField']",8.8,12,142min,"Drama,Romance",$330.25M
PulpFiction,QuentinTarantino,"['QuentinTarantino','JohnTravolta','UmaThurman','SamuelL.Jackson','BruceWillis']",8.9,18,154min,"Crime,Drama",$107.93M
TheMatrix,LanaWachowski,"['LanaWachowski','LillyWachowski','KeanuReeves','LaurenceFishburne','Carrie-AnneMoss','HugoWeaving']",8.7,15,136min,"Action,Sci-Fi",$171.48M
TheGodfather,FrancisFordCoppola,"['FrancisFordCoppola','MarlonBrando','AlPacino','JamesCaan','DianeKeaton']",9.2,X,175min,"Crime,Drama",$134.97M
TheLordoftheRings:TheFellowshipoftheRing,PeterJackson,"['PeterJackson','ElijahWood','IanMcKellen','OrlandoBloom','SeanBean']",8.8,PG,178min,"Action,Adventure,Drama",$315.54M
TheLordoftheRings:TheReturnoftheKing,PeterJackson,"['PeterJackson','ElijahWood','ViggoMortensen','IanMcKellen','OrlandoBloom']",9,12A,201min,"Action,Adventure,Drama",$377.85M
TheDarkKnightRises,ChristopherNolan,"['ChristopherNolan','ChristianBale','TomHardy','AnneHathaway','GaryOldman']",8.4,12A,164min,"Action,Drama,Thriller",$448.14M
Seven,DavidFincher,"['DavidFincher','MorganFreeman','BradPitt','KevinSpacey','AndrewKevinWalker']",8.6,18,127min,"Crime,Drama,Mystery",$100.13M
TheLordoftheRings:TheTwoTowers,PeterJackson,"['PeterJackson','ElijahWood','IanMcKellen','ViggoMortensen','OrlandoBloom']",8.8,12A,179min,"Action,Adventure,Drama",$342.55M
DjangoUnchained,QuentinTarantino,"['QuentinTarantino','JamieFoxx','ChristophWaltz','LeonardoDiCaprio','KerryWashington']",8.4,18,165min,"Drama,Western",$162.81M
Gladiator,RidleyScott,"['RidleyScott','RussellCrowe','JoaquinPhoenix','ConnieNielsen','OliverReed']",8.5,15,155min,"Action,Adventure,Drama",$187.71M
BatmanBegins,ChristopherNolan,"['ChristopherNolan','ChristianBale','MichaelCaine','KenWatanabe','LiamNeeson']",8.2,12A,140min,"Action,Crime,Drama",$206.85M
InglouriousBasterds,QuentinTarantino,"['QuentinTarantino','BradPitt','DianeKruger','EliRoth','MélanieLaurent']",8.3,18,153min,"Adventure,Drama,War",$120.54M
TheSilenceoftheLambs,JonathanDemme,"['JonathanDemme','JodieFoster','AnthonyHopkins','LawrenceA.Bonney','KasiLemmons']",8.6,18,118min,"Crime,Drama,Thriller",$130.74M
SavingPrivateRyan,StevenSpielberg,"['StevenSpielberg','TomHanks','MattDamon','TomSizemore','EdwardBurns']",8.6,15,169min,"Drama,War",$216.54M
AvengersAssemble,JossWhedon,"['JossWhedon','RobertDowneyJr.','ChrisEvans','ScarlettJohansson','JeremyRenner']",8,12A,143min,"Action,Sci-Fi",$623.28M
StarWars:EpisodeIV-ANewHope,GeorgeLucas,"['GeorgeLucas','MarkHamill','HarrisonFord','CarrieFisher','AlecGuinness']",8.6,U,121min,"Action,Adventure,Fantasy",$322.74M
Schindler'sList,StevenSpielberg,"['StevenSpielberg','LiamNeeson','RalphFiennes','BenKingsley','CarolineGoodall']",9,15,195min,"Biography,Drama,History",$96.90M
ThePrestige,ChristopherNolan,"['ChristopherNolan','ChristianBale','HughJackman','ScarlettJohansson','MichaelCaine']",8.5,12A,130min,"Drama,Mystery,Sci-Fi",$53.09M
ShutterIsland,MartinScorsese,"['MartinScorsese','LeonardoDiCaprio','EmilyMortimer','MarkRuffalo','BenKingsley']",8.2,15,138min,"Mystery,Thriller",$128.01M
TheDeparted,MartinScorsese,"['MartinScorsese','LeonardoDiCaprio','MattDamon','JackNicholson','MarkWahlberg']",8.5,18,151min,"Crime,Drama,Thriller",$132.38M
Avatar,JamesCameron,"['JamesCameron','SamWorthington','ZoeSaldana','SigourneyWeaver','MichelleRodriguez']",7.9,12A,162min,"Action,Adventure,Fantasy",$760.51M
TheGreenMile,FrankDarabont,"['FrankDarabont','TomHanks','MichaelClarkeDuncan','DavidMorse','BonnieHunt']",8.6,18,189min,"Crime,Drama,Fantasy",$136.80M
StarWars:EpisodeV-TheEmpireStrikesBack,IrvinKershner,"['IrvinKershner','MarkHamill','HarrisonFord','CarrieFisher','BillyDeeWilliams']",8.7,U,124min,"Action,Adventure,Fantasy",$290.48M
TheGodfatherPartII,FrancisFordCoppola,"['FrancisFordCoppola','AlPacino','RobertDeNiro','RobertDuvall','DianeKeaton']",9,X,202min,"Crime,Drama",$57.30M
Memento,ChristopherNolan,"['ChristopherNolan','GuyPearce','Carrie-AnneMoss','JoePantoliano','MarkBooneJunior']",8.4,15,113min,"Mystery,Thriller",$25.54M
BacktotheFuture,RobertZemeckis,"['RobertZemeckis','MichaelJ.Fox','ChristopherLloyd','LeaThompson','CrispinGlover']",8.5,PG,116min,"Adventure,Comedy,Sci-Fi",$210.61M
Titanic,JamesCameron,"['JamesCameron','LeonardoDiCaprio','KateWinslet','BillyZane','KathyBates']",7.9,12,194min,"Drama,Romance",$659.33M
